#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
#~~~~~~~~~ RAPP measurements | INTI 2023-12-28 ~~~~~~~~#
#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
# cycles  : 1
# step    : 1.0
# samples : 50
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
ANGLE     CH0       CH1       DATETIME
3083.0    2.3565    1.7615    2023-12-28T16:46:24.905375
3083.0    2.356875  1.7615    2023-12-28T16:46:24.905375
3083.0    2.35725   1.76175   2023-12-28T16:46:24.905375
3083.0    2.357125  1.76125   2023-12-28T16:46:24.905375
3083.0    2.357375  1.761125  2023-12-28T16:46:24.905375
3083.0    2.3575    1.761     2023-12-28T16:46:24.905375
3083.0    2.3575    1.761625  2023-12-28T16:46:24.905375
3083.0    2.358     1.76175   2023-12-28T16:46:24.905375
3083.0    2.358     1.76175   2023-12-28T16:46:24.905375
3083.0    2.3585    1.761875  2023-12-28T16:46:24.905375
3083.0    2.358375  1.762375  2023-12-28T16:46:24.905375
3083.0    2.357875  1.7625    2023-12-28T16:46:24.905375
3083.0    2.357125  1.762375  2023-12-28T16:46:24.905375
3083.0    2.356875  1.762625  2023-12-28T16:46:24.905375
3083.0    2.357375  1.762875  2023-12-28T16:46:24.905375
3083.0    2.3575    1.76275   2023-12-28T16:46:24.905375
3083.0    2.357     1.762     2023-12-28T16:46:24.905375
3083.0    2.3565    1.761375  2023-12-28T16:46:24.905375
3083.0    2.356875  1.761625  2023-12-28T16:46:24.905375
3083.0    2.35725   1.761625  2023-12-28T16:46:24.905375
3083.0    2.357     1.7615    2023-12-28T16:46:24.905375
3083.0    2.357     1.76125   2023-12-28T16:46:24.905375
3083.0    2.3575    1.7615    2023-12-28T16:46:24.905375
3083.0    2.3575    1.7615    2023-12-28T16:46:24.905375
3083.0    2.3575    1.761875  2023-12-28T16:46:24.905375
3083.0    2.358     1.762125  2023-12-28T16:46:24.905375
3083.0    2.358375  1.762375  2023-12-28T16:46:24.905375
3083.0    2.358125  1.7625    2023-12-28T16:46:24.905375
3083.0    2.3575    1.76225   2023-12-28T16:46:24.905375
3083.0    2.357     1.762125  2023-12-28T16:46:24.905375
3083.0    2.357     1.76275   2023-12-28T16:46:24.905375
3083.0    2.35725   1.763     2023-12-28T16:46:24.905375
3083.0    2.35725   1.76275   2023-12-28T16:46:24.905375
3083.0    2.356875  1.76175   2023-12-28T16:46:24.905375
3083.0    2.356625  1.7615    2023-12-28T16:46:24.905375
3083.0    2.356875  1.7615    2023-12-28T16:46:24.905375
3083.0    2.357125  1.7615    2023-12-28T16:46:24.905375
3083.0    2.357125  1.761     2023-12-28T16:46:24.905375
3083.0    2.357125  1.761     2023-12-28T16:46:24.905375
3083.0    2.357375  1.761     2023-12-28T16:46:24.905375
3083.0    2.357625  1.761625  2023-12-28T16:46:24.905375
3083.0    2.35775   1.762125  2023-12-28T16:46:24.905375
3083.0    2.358125  1.762125  2023-12-28T16:46:24.905375
3083.0    2.358375  1.762     2023-12-28T16:46:24.905375
3083.0    2.357875  1.762     2023-12-28T16:46:24.905375
3083.0    2.35725   1.762     2023-12-28T16:46:24.905375
3083.0    2.356875  1.762375  2023-12-28T16:46:24.905375
3083.0    2.357125  1.76325   2023-12-28T16:46:24.905375
